model_name,module,shared_failure_bucket,surface,share_within_module_mean,share_within_module_std,share_within_module_min,share_within_module_max,n_mean,n_std,n_min,n_max
Qwen/Qwen2.5-7B-Instruct,format,binding_or_alignment,ifbench,0.06313190606348862,0.0057970134583204555,0.05701754385964912,0.06854838709677419,15.0,2.0,13,17
Qwen/Qwen2.5-7B-Instruct,format,binding_or_alignment,ifeval_screened,0.09446290744018591,0.01513492403113605,0.08064516129032258,0.11063829787234042,22.333333333333332,3.214550253664318,20,26
Qwen/Qwen2.5-7B-Instruct,format,direct_correct,ifbench,0.12440095606208383,0.022145738814493294,0.10080645161290322,0.14473684210526316,29.333333333333332,4.041451884327381,25,33
Qwen/Qwen2.5-7B-Instruct,format,direct_correct,ifeval_screened,0.3553598879376432,0.02177979906564498,0.33617021276595743,0.3790322580645161,84.33333333333333,8.386497083606082,79,94
Qwen/Qwen2.5-7B-Instruct,format,final_requirement_realization,ifbench,0.14560149229169927,0.027619474468210066,0.11403508771929824,0.16532258064516128,34.666666666666664,7.767453465154028,26,41
Qwen/Qwen2.5-7B-Instruct,format,final_requirement_realization,ifeval_screened,0.06927727405908962,0.014934257164957351,0.05241935483870968,0.08085106382978724,16.333333333333332,3.0550504633038935,13,19
Qwen/Qwen2.5-7B-Instruct,format,structural_or_broad,ifbench,0.1167627946553641,0.0130510072029733,0.10212765957446808,0.12719298245614036,27.666666666666668,3.214550253664318,24,30
Qwen/Qwen2.5-7B-Instruct,format,structural_or_broad,ifeval_screened,0.0310027814904454,0.009163258632406846,0.02127659574468085,0.039473684210526314,7.333333333333333,2.081665999466133,5,9
Qwen/Qwen2.5-7B-Instruct,math,binding_or_alignment,hard_cluster_main_r2,0.39887797130136965,0.01753146029372302,0.3816155988857939,0.4166666666666667,281.3333333333333,8.082903768654768,274,290
Qwen/Qwen2.5-7B-Instruct,math,binding_or_alignment,hard_generic_main_r2,0.12390749725359752,0.018083666658959646,0.10306406685236769,0.13541666666666666,87.33333333333333,11.930353445448855,74,97
Qwen/Qwen2.5-7B-Instruct,math,direct_correct,hard_cluster_main_r2,0.20404983827685777,0.011146141754838641,0.19230769230769232,0.21448467966573817,144.0,8.717797887081348,138,154
Qwen/Qwen2.5-7B-Instruct,math,direct_correct,hard_generic_main_r2,0.08069534148921335,0.008665881278621126,0.07417582417582418,0.0905292479108635,57.0,7.0,52,65
Qwen/Qwen2.5-7B-Instruct,math,executable_relation,hard_cluster_main_r2,0.08052347876512223,0.009137707029373597,0.07291666666666667,0.09065934065934066,57.0,8.54400374531753,49,66
Qwen/Qwen2.5-7B-Instruct,math,executable_relation,hard_generic_main_r2,0.016502860339907693,0.0038434108868667352,0.013736263736263736,0.020891364902506964,11.666666666666666,2.8867513459481287,10,15
Qwen/Qwen2.5-7B-Instruct,math,final_requirement_realization,hard_cluster_main_r2,0.04602987541706205,0.009100886326232353,0.03571428571428571,0.052924791086350974,32.666666666666664,7.571877794400366,24,38
Qwen/Qwen2.5-7B-Instruct,math,final_requirement_realization,hard_generic_main_r2,0.00891602980739471,0.0043642125164046145,0.005952380952380952,0.013927576601671309,6.333333333333333,3.214550253664318,4,10
Qwen/Qwen2.5-7B-Instruct,math,structural_or_broad,hard_cluster_main_r2,0.036655970151791874,0.006071974234274018,0.02976190476190476,0.04120879120879121,26.0,5.291502622129181,20,30
Qwen/Qwen2.5-7B-Instruct,math,structural_or_broad,hard_generic_main_r2,0.0057617057965247374,0.00026965539141946205,0.005571030640668524,0.005952380952380952,4.0,0.0,4,4
